x,y,z,j
4135.19,524.425,98,34.43
2313.96,-4099.575,78,65.9
-631.11,172.754,-77,67.06
1081.53,679.599,12,33.15
618.36,-648.197,-23,43.67
15.07,-2917.704,77,72.32
2875.93,-1281.177,-28,55.05
1421.37,-57.223,18,90.96
554.47,-166.41,61,67.99
2421.89,387.624,89,86.59
2164.64,-3951.76,-78,72.83
-327.75,-1459.739,-92,98.92
3752.96,-4511.843,-96,41.87
1942.41,-839.228,-8,17.81
484.13,-358.104,49,81.58
1554.76,-3909.217,-33,14.65
223.61,55.133,-90,23.83
-277.32,-4485.546,-38,94.11
-816.87,634.792,-50,12.58
-376.69,-2170.558,36,96.29
-685.62,-166.996,59,19.04
4157.34,288.849,95,37.69
1880.08,-1015.989,33,25.05
-808.93,-4348.332,60,80.57
1561.21,-4938.833,-87,24.8
1388.82,-4968.129,56,89.96
3318.9,-4300.206,-95,41.84
-556.93,-1147.414,-64,68.28
-877.82,-4275.526,69,42.37
-320.43,573.035,-82,30.3
4336.41,-389.636,-90,69.49
2580.41,-2991.116,-63,53.34
4245.45,-3951.979,68,65.0
3296.45,-485.438,93,45.81
2126.99,-2811.139,61,48.06
797.51,-1697.932,80,34.11
3850.01,-1048.503,-72,88.64
376.07,-3822.605,95,46.88
2477.73,-4192.988,-45,86.79
4807.97,-4422.548,-21,85.82
4451.24,-4540.072,82,20.85
1374.73,944.831,-31,11.05
4668.44,-1279.095,88,73.91
2849.36,-3861.067,-88,63.35
1243.56,-4250.978,21,29.62
4828.15,-1319.605,-82,70.69
2078.57,-2904.008,97,72.57
-73.51,-1877.789,-4,63.21
941.38,-3550.017,-14,12.65
4466.4,-2847.898,23,18.27
283.22,-4023.338,45,37.97
3306.29,474.636,80,60.68
1080.56,-3861.027,-100,61.47
4195.69,-2618.316,-52,23.65
-913.19,-603.057,69,50.24
4664.93,-4706.68,-25,48.52
-713.84,-612.579,-78,82.12
-716.89,229.537,-22,31.61
1541.37,-1384.365,-80,57.66
1250.52,-1763.037,-88,39.52
2665.6,-552.856,-35,47.86
820.98,117.517,-39,95.41
4985.64,-1983.28,31,11.48
1226.07,-4613.926,-82,69.09
852.56,995.88,-5,30.89
3718.03,470.847,28,82.54
1576.66,63.573,-79,87.94
2647.09,-2204.236,-13,35.83
4685.5,-370.485,3,75.05
1948.04,-953.017,-57,19.52
2216.73,-4132.262,70,46.22
-938.64,-1069.977,-78,98.73
2428.09,-2597.151,-26,91.11
2614.51,-3422.503,-96,41.96
262.45,-1145.684,19,52.82
2488.57,-2342.607,48,42.78
4456.48,-4071.99,27,23.19
-163.95,-1393.198,-26,69.7
508.95,-2302.373,79,42.98
-507.42,-601.887,96,65.23
786.92,-3385.856,67,19.63
718.23,-2539.306,-26,84.23
-414.22,-2976.657,-42,33.56
-836.93,-2030.573,-70,42.81
2477.23,-4382.572,-36,60.21
1865.85,-711.669,-78,69.37
2325.74,580.872,35,26.13
4160.71,-2169.262,-32,78.02
1755.73,261.426,-49,66.38
-786.09,-2517.044,-23,88.4
2637.83,-2894.877,19,13.61
2305.69,-506.637,-11,68.25
3754.68,-3637.773,26,23.28
332.22,-3727.101,-73,25.79
2639.24,-2680.64,63,90.65
2767.97,-3962.378,-75,79.69
319.88,-897.547,-86,52.04
4767.14,-4270.368,-100,21.73
1402.31,-3814.337,-47,86.58
3850.66,-2657.595,43,71.57
3521.94,-1511.919,-17,50.35
2683.6,-4821.019,-49,12.77
449.3,564.936,-46,76.51
2653.81,79.953,-44,26.48
1679.44,400.478,-23,78.38
1367.24,-3566.347,45,70.57
3843.91,-2170.452,-5,45.22
3899.08,-1541.491,-22,64.81
4555.23,955.77,-50,11.0
4239.04,-2187.605,5,87.04
3309.19,-2254.714,-67,49.36
2161.75,762.419,-1,13.82
3668.59,135.696,89,48.16
2991.53,-191.423,72,36.24
4936.73,-3245.265,64,65.49
3948.19,-4531.826,33,84.12
4036.73,-4645.719,-28,19.3
2589.72,-4322.543,-91,33.67
1296.16,-47.551,-94,43.7
1768.32,-5.77,-48,85.94
-806.27,-4047.907,70,93.64
2004.49,-2977.834,-88,19.22
1555.14,-38.285,83,23.16
4554.84,-4216.184,-75,63.29
2352.38,-371.327,-23,57.14
4175.22,-4086.243,-43,57.28
1749.38,-736.922,87,87.31
4341.5,-4844.436,45,49.08
2804.21,-2986.144,-1,17.19
4814.61,969.784,68,73.23
2602.58,-3815.309,-41,37.04
-860.85,-4679.881,-20,91.19
3031.79,-936.217,84,29.41
1327.16,-3815.648,35,40.43
3180.61,-3985.433,52,25.62
-987.8,-3639.067,77,74.82
4073.14,479.505,32,38.79
2951.58,-4785.644,-64,78.41
1226.9,-4988.279,-16,55.72
1669.94,-4623.507,36,53.43
-139.4,-2962.542,-58,40.32
870.0,-480.797,-73,11.72
1500.98,-2671.384,49,23.25
3146.6,-3949.993,5,71.91
-263.35,-1837.271,7,18.15
2656.01,-588.31,-38,70.64
-334.02,-274.167,95,24.58
2489.85,-3224.81,-67,35.31
89.48,-3530.538,-37,21.16
3250.83,839.573,-47,89.5
4551.31,293.874,41,96.72
4639.78,-4389.539,-22,85.19
-627.66,-4976.686,24,43.63
153.7,-2772.965,41,24.56
168.94,728.108,-90,69.84
3613.6,46.681,62,33.47
806.03,-2763.706,-76,21.56
2590.61,-3911.635,29,43.68
1878.18,603.77,66,60.79
-974.9,714.29,33,86.48
586.32,-2193.975,67,62.39
2.14,-4752.711,12,55.46
1642.76,-3607.409,9,61.69
3832.54,-2902.393,77,77.83
4210.28,-1787.901,70,94.81
-342.64,-2390.151,-58,90.54
4797.13,-4227.371,-83,40.02
41.85,289.299,50,72.86
1532.42,961.815,-50,17.27
1463.15,670.079,73,60.53
-646.66,-1098.216,-71,11.87
727.68,-1135.649,47,59.67
4548.47,-1679.184,-12,33.92
4523.01,581.5,-35,39.87
1887.1,-119.371,70,98.23
4272.86,-2475.686,-19,71.02
-798.3,-1309.343,16,85.57
1038.08,-2764.754,-41,72.67
1986.87,-1486.606,-68,43.74
2298.94,129.688,-92,55.8
2863.75,-181.074,22,25.45
3776.66,-4844.985,-69,42.05
1895.39,-1486.839,61,60.54
1925.54,-2539.254,0,71.08
1439.52,-3485.907,-53,47.6
4722.18,-4960.205,0,89.13
1651.45,-1777.104,86,23.18
-477.19,-4310.935,-8,21.47
3249.53,498.452,-16,97.94
2071.41,-1387.526,-93,46.99
1207.16,-157.342,-34,52.53
4304.84,-2343.511,-59,52.54
241.96,-3074.354,-60,33.37
4532.02,-4461.762,100,54.57
-463.03,-364.604,24,34.66
1865.77,-3721.445,18,96.88
-215.08,-41.252,7,20.8
-612.47,-394.819,92,83.67
-198.94,-2769.294,-58,87.16
4873.38,-325.422,-28,19.91
-514.64,-130.872,-20,16.79
4299.46,175.963,3,79.21
3836.36,-3095.885,-83,60.92
1715.83,-1100.738,12,43.41
